poc_requirement_id,poc_section,source_framework,match_type,framework_clause,rationale,coder_id
3.2.3,C3.2,CSA_AARM,NM,—,Not addressed,seed-01
3.2.3,C3.2,EU_AI_Act,NM,—,No cross-environment evidence-continuity provision,seed-01
3.2.3,C3.2,ISO_42001,NM,—,Evidence continuity not addressed,seed-01
3.2.3,C3.2,MITRE_ATLAS,NM,—,Outside scope,seed-01
3.2.3,C3.2,NIST_AI_RMF,NM,—,Evidence continuity across environments not addressed,seed-01
3.2.3,C3.2,NIST_SP_800_207,NM,—,Evidence continuity not addressed,seed-01
3.2.3,C3.2,OWASP_AISVS,NM,—,Evidence continuity not addressed,seed-01
3.2.3,C3.2,SOC_2,NM,—,Evidence continuity not addressed,seed-01
4.1.1,C4.1,CSA_AARM,PM,R5 Tamper-evident Receipts; R9 Least Privilege Enforcement (SHOULD),"R5 records the policy context used in each evaluation and R9 scopes credentials per action, but AARM requires no record of the granted permission set, its scope and its expiry written before the first action executes under it.",joseruiz1571
4.1.1,C4.1,EU_AI_Act,PM,Art. 9; Art. 14,Art 14 human oversight and Art 9 risk controls require authority limits and oversight; gateway-blocked rejection evidence not required,seed-01
4.1.1,C4.1,ISO_42001,PM,Annex A.9,Human oversight and resource-authority controls; no evidenced per-action evaluation,seed-01
4.1.1,C4.1,MITRE_ATLAS,PM,Control Access to ML Models and Data (AML.M0005),Least-privilege and access-control mitigations for ML systems; no evidenced gateway decisions,seed-01
4.1.1,C4.1,NIST_AI_RMF,PM,GOVERN 2.1; GOVERN 3.2,GOVERN roles/authority and MANAGE controls cover authority definition; no evidenced per-action evaluation,seed-01
4.1.1,C4.1,NIST_SP_800_207,EM,"Tenets 3, 4, 6; PEP (§3)",Per-request access evaluation at the PEP with least privilege matches authority-and-scope enforcement,seed-01
4.1.1,C4.1,OWASP_AISVS,EM,AISVS C9,"C9 agentic security requires tool authorization, schema validation and least-privilege comparable in scope",seed-01
4.1.1,C4.1,SOC_2,PM,CC6.1–CC6.3,CC6 logical access requires authorization controls; no evidenced per-action gateway decisions,seed-01
4.1.2,C4.1,CSA_AARM,PM,R3 Policy Evaluation with Intent Alignment; R5 Tamper-evident Receipts,"R3 requires every intercepted action to be evaluated against policy and R5 requires the decision and the policy context to be recorded, but AARM never defines policy context and never requires the record to name the permission matched or the denial reason.",joseruiz1571
4.1.2,C4.1,EU_AI_Act,PM,Art. 9; Art. 14,Art 14 human oversight and Art 9 risk controls require authority limits and oversight; gateway-blocked rejection evidence not required,seed-01
4.1.2,C4.1,ISO_42001,PM,Annex A.9,Human oversight and resource-authority controls; no evidenced per-action evaluation,seed-01
4.1.2,C4.1,MITRE_ATLAS,PM,Control Access to ML Models and Data (AML.M0005),Least-privilege and access-control mitigations for ML systems; no evidenced gateway decisions,seed-01
4.1.2,C4.1,NIST_AI_RMF,PM,GOVERN 2.1; GOVERN 3.2,GOVERN roles/authority and MANAGE controls cover authority definition; no evidenced per-action evaluation,seed-01
4.1.2,C4.1,NIST_SP_800_207,EM,"Tenets 3, 4, 6; PEP (§3)",Per-request access evaluation at the PEP with least privilege matches authority-and-scope enforcement,seed-01
4.1.2,C4.1,OWASP_AISVS,EM,AISVS C9,"C9 agentic security requires tool authorization, schema validation and least-privilege comparable in scope",seed-01
4.1.2,C4.1,SOC_2,PM,CC6.1–CC6.3,CC6 logical access requires authorization controls; no evidenced per-action gateway decisions,seed-01
4.1.3,C4.1,CSA_AARM,EM,"R1 Pre-execution Interception; R4 Five Authorization Decisions (ALLOW, DENY, MODIFY, STEP_UP, DEFER); R5 Tamper-evident Receipts","R1 stops the action before execution rather than flagging it, R4 supplies DENY as a decision, and R5 records the original action and the decision, so the block and its rejection record match in scope and specificity.",joseruiz1571
4.1.3,C4.1,EU_AI_Act,PM,Art. 9; Art. 14,Art 14 human oversight and Art 9 risk controls require authority limits and oversight; gateway-blocked rejection evidence not required,seed-01
4.1.3,C4.1,ISO_42001,PM,Annex A.9,Human oversight and resource-authority controls; no evidenced per-action evaluation,seed-01
4.1.3,C4.1,MITRE_ATLAS,PM,Control Access to ML Models and Data (AML.M0005),Least-privilege and access-control mitigations for ML systems; no evidenced gateway decisions,seed-01
4.1.3,C4.1,NIST_AI_RMF,PM,GOVERN 2.1; GOVERN 3.2,GOVERN roles/authority and MANAGE controls cover authority definition; no evidenced per-action evaluation,seed-01
4.1.3,C4.1,NIST_SP_800_207,EM,"Tenets 3, 4, 6; PEP (§3)",Per-request access evaluation at the PEP with least privilege matches authority-and-scope enforcement,seed-01
4.1.3,C4.1,OWASP_AISVS,EM,AISVS C9,"C9 agentic security requires tool authorization, schema validation and least-privilege comparable in scope",seed-01
4.1.3,C4.1,SOC_2,PM,CC6.1–CC6.3,CC6 logical access requires authorization controls; no evidenced per-action gateway decisions,seed-01
4.1.4,C4.1,CSA_AARM,PM,R3 Policy Evaluation with Intent Alignment,"R3 evaluates the intercepted action itself at execution time, but AARM has no registered tool schema, no structural validation of call parameters against one, and no stored parameter digest.",joseruiz1571
4.1.4,C4.1,EU_AI_Act,PM,Art. 9; Art. 14,Art 14 human oversight and Art 9 risk controls require authority limits and oversight; gateway-blocked rejection evidence not required,seed-01
4.1.4,C4.1,ISO_42001,PM,Annex A.9,Human oversight and resource-authority controls; no evidenced per-action evaluation,seed-01
4.1.4,C4.1,MITRE_ATLAS,PM,Control Access to ML Models and Data (AML.M0005),Least-privilege and access-control mitigations for ML systems; no evidenced gateway decisions,seed-01
4.1.4,C4.1,NIST_AI_RMF,PM,GOVERN 2.1; GOVERN 3.2,GOVERN roles/authority and MANAGE controls cover authority definition; no evidenced per-action evaluation,seed-01
4.1.4,C4.1,NIST_SP_800_207,EM,"Tenets 3, 4, 6; PEP (§3)",Per-request access evaluation at the PEP with least privilege matches authority-and-scope enforcement,seed-01
4.1.4,C4.1,OWASP_AISVS,EM,AISVS C9,"C9 agentic security requires tool authorization, schema validation and least-privilege comparable in scope",seed-01
4.1.4,C4.1,SOC_2,PM,CC6.1–CC6.3,CC6 logical access requires authorization controls; no evidenced per-action gateway decisions,seed-01
4.1.5,C4.1,CSA_AARM,PM,R9 Least Privilege Enforcement (SHOULD),"R9 scopes credentials to the minimum necessary for each action rather than session-wide, but it is a SHOULD in the Extended tier and imposes no expiry or per-task issuance requirement.",joseruiz1571
4.1.5,C4.1,EU_AI_Act,PM,Art. 9; Art. 14,Art 14 human oversight and Art 9 risk controls require authority limits and oversight; gateway-blocked rejection evidence not required,seed-01
4.1.5,C4.1,ISO_42001,PM,Annex A.9,Human oversight and resource-authority controls; no evidenced per-action evaluation,seed-01
4.1.5,C4.1,MITRE_ATLAS,PM,Control Access to ML Models and Data (AML.M0005),Least-privilege and access-control mitigations for ML systems; no evidenced gateway decisions,seed-01
4.1.5,C4.1,NIST_AI_RMF,PM,GOVERN 2.1; GOVERN 3.2,GOVERN roles/authority and MANAGE controls cover authority definition; no evidenced per-action evaluation,seed-01
4.1.5,C4.1,NIST_SP_800_207,EM,"Tenets 3, 4, 6; PEP (§3)",Per-request access evaluation at the PEP with least privilege matches authority-and-scope enforcement,seed-01
4.1.5,C4.1,OWASP_AISVS,EM,AISVS C9,"C9 agentic security requires tool authorization, schema validation and least-privilege comparable in scope",seed-01
4.1.5,C4.1,SOC_2,PM,CC6.1–CC6.3,CC6 logical access requires authorization controls; no evidenced per-action gateway decisions,seed-01
4.1.6,C4.1,CSA_AARM,PM,R4 Five Authorization Decisions (STEP_UP); R5 Tamper-evident Receipts,"STEP_UP requires human approval before execution but carries no recording obligation anywhere in the spec, so of the four fields this requirement names AARM reaches only the timestamp and the policy engine's own decision, never the approver's authenticated identity or the exact content presented.",joseruiz1571
4.1.6,C4.1,EU_AI_Act,PM,Art. 9; Art. 14,Art 14 human oversight and Art 9 risk controls require authority limits and oversight; gateway-blocked rejection evidence not required,seed-01
4.1.6,C4.1,ISO_42001,PM,Annex A.9,Human oversight and resource-authority controls; no evidenced per-action evaluation,seed-01
4.1.6,C4.1,MITRE_ATLAS,PM,Control Access to ML Models and Data (AML.M0005),Least-privilege and access-control mitigations for ML systems; no evidenced gateway decisions,seed-01
4.1.6,C4.1,NIST_AI_RMF,PM,GOVERN 2.1; GOVERN 3.2,GOVERN roles/authority and MANAGE controls cover authority definition; no evidenced per-action evaluation,seed-01
4.1.6,C4.1,NIST_SP_800_207,EM,"Tenets 3, 4, 6; PEP (§3)",Per-request access evaluation at the PEP with least privilege matches authority-and-scope enforcement,seed-01
4.1.6,C4.1,OWASP_AISVS,EM,AISVS C9,"C9 agentic security requires tool authorization, schema validation and least-privilege comparable in scope",seed-01
4.1.6,C4.1,SOC_2,PM,CC6.1–CC6.3,CC6 logical access requires authorization controls; no evidenced per-action gateway decisions,seed-01
4.1.7,C4.1,CSA_AARM,PM,R2 Context Accumulation; R3 Policy Evaluation with Intent Alignment,"R2 puts prior actions in the session into the context available at each decision and R3 evaluates against it, but AARM's unit is the session thread rather than the execution path and it never states that a composed sequence cannot exceed the authority of its steps.",joseruiz1571
4.1.7,C4.1,EU_AI_Act,PM,Art. 9; Art. 14,Art 14 human oversight and Art 9 risk controls require authority limits and oversight; gateway-blocked rejection evidence not required,seed-01
4.1.7,C4.1,ISO_42001,PM,Annex A.9,Human oversight and resource-authority controls; no evidenced per-action evaluation,seed-01
4.1.7,C4.1,MITRE_ATLAS,PM,Control Access to ML Models and Data (AML.M0005),Least-privilege and access-control mitigations for ML systems; no evidenced gateway decisions,seed-01
4.1.7,C4.1,NIST_AI_RMF,PM,GOVERN 2.1; GOVERN 3.2,GOVERN roles/authority and MANAGE controls cover authority definition; no evidenced per-action evaluation,seed-01
4.1.7,C4.1,NIST_SP_800_207,EM,"Tenets 3, 4, 6; PEP (§3)",Per-request access evaluation at the PEP with least privilege matches authority-and-scope enforcement,seed-01
4.1.7,C4.1,OWASP_AISVS,EM,AISVS C9,"C9 agentic security requires tool authorization, schema validation and least-privilege comparable in scope",seed-01
4.1.7,C4.1,SOC_2,PM,CC6.1–CC6.3,CC6 logical access requires authorization controls; no evidenced per-action gateway decisions,seed-01
4.1.8,C4.1,CSA_AARM,NM,—,"No AARM requirement pins approval thresholds to the original grant; R2 does the opposite by accumulating prior actions and tool output into the evaluation context, and R7 semantic distance tracking is a SHOULD aimed at intent drift rather than at authorization state.",joseruiz1571
4.1.8,C4.1,EU_AI_Act,PM,Art. 9; Art. 14,Art 14 human oversight and Art 9 risk controls require authority limits and oversight; gateway-blocked rejection evidence not required,seed-01
4.1.8,C4.1,ISO_42001,PM,Annex A.9,Human oversight and resource-authority controls; no evidenced per-action evaluation,seed-01
4.1.8,C4.1,MITRE_ATLAS,PM,Control Access to ML Models and Data (AML.M0005),Least-privilege and access-control mitigations for ML systems; no evidenced gateway decisions,seed-01
4.1.8,C4.1,NIST_AI_RMF,PM,GOVERN 2.1; GOVERN 3.2,GOVERN roles/authority and MANAGE controls cover authority definition; no evidenced per-action evaluation,seed-01
4.1.8,C4.1,NIST_SP_800_207,EM,"Tenets 3, 4, 6; PEP (§3)",Per-request access evaluation at the PEP with least privilege matches authority-and-scope enforcement,seed-01
4.1.8,C4.1,OWASP_AISVS,EM,AISVS C9,"C9 agentic security requires tool authorization, schema validation and least-privilege comparable in scope",seed-01
4.1.8,C4.1,SOC_2,PM,CC6.1–CC6.3,CC6 logical access requires authorization controls; no evidenced per-action gateway decisions,seed-01
4.2.1,C4.2,CSA_AARM,PM,Authority evaluation at the boundary,Authority evaluation at the boundary partially covers delegation checks,seed-01
4.2.1,C4.2,EU_AI_Act,NM,—,No delegation-chain provisions,seed-01
4.2.1,C4.2,ISO_42001,NM,—,Delegation chains not addressed,seed-01
4.2.1,C4.2,MITRE_ATLAS,PM,AML.M0027 — Single-User AI Agent Permissions Configuration; AML.M0028 — AI Agent Tools Permissions Configuration,"ATLAS calls for delegated access from the user and for tools to receive the calling agent's permissions, identities, and restrictions. It does not specify signed-token validation or recording validation outcomes.",codex-review-01
4.2.1,C4.2,NIST_AI_RMF,NM,—,Delegation chains not addressed,seed-01
4.2.1,C4.2,NIST_SP_800_207,PM,Tenet 4,Dynamic authorization covers authority scoping; delegation chains not addressed,seed-01
4.2.1,C4.2,OWASP_AISVS,PM,AISVS C9.4,C9.4 agent identity and credential requirements partially cover delegation validity,seed-01
4.2.1,C4.2,SOC_2,NM,—,Delegation chains not addressed,seed-01
4.2.2,C4.2,CSA_AARM,PM,Authority evaluation at the boundary,Authority evaluation at the boundary partially covers delegation checks,seed-01
4.2.2,C4.2,EU_AI_Act,NM,—,No delegation-chain provisions,seed-01
4.2.2,C4.2,ISO_42001,NM,—,Delegation chains not addressed,seed-01
4.2.2,C4.2,MITRE_ATLAS,NM,—,Delegation chains not addressed,seed-01
4.2.2,C4.2,NIST_AI_RMF,NM,—,Delegation chains not addressed,seed-01
4.2.2,C4.2,NIST_SP_800_207,PM,Tenet 4,Dynamic authorization covers authority scoping; delegation chains not addressed,seed-01
4.2.2,C4.2,OWASP_AISVS,PM,AISVS C9.4,C9.4 agent identity and credential requirements partially cover delegation validity,seed-01
4.2.2,C4.2,SOC_2,NM,—,Delegation chains not addressed,seed-01
4.2.3,C4.2,CSA_AARM,PM,Authority evaluation at the boundary,Authority evaluation at the boundary partially covers delegation checks,seed-01
4.2.3,C4.2,EU_AI_Act,NM,—,No delegation-chain provisions,seed-01
4.2.3,C4.2,ISO_42001,NM,—,Delegation chains not addressed,seed-01
4.2.3,C4.2,MITRE_ATLAS,PM,AML.M0027 — Single-User AI Agent Permissions Configuration,ATLAS states that an agent acting for a user should not receive permissions the user would not receive. It does not mandate structural scope intersection or logged rejection events.,codex-review-01
4.2.3,C4.2,NIST_AI_RMF,NM,—,Delegation chains not addressed,seed-01
4.2.3,C4.2,NIST_SP_800_207,PM,Tenet 4,Dynamic authorization covers authority scoping; delegation chains not addressed,seed-01
4.2.3,C4.2,OWASP_AISVS,PM,AISVS C9.4,C9.4 agent identity and credential requirements partially cover delegation validity,seed-01
4.2.3,C4.2,SOC_2,NM,—,Delegation chains not addressed,seed-01
4.2.4,C4.2,CSA_AARM,PM,Authority evaluation at the boundary,Authority evaluation at the boundary partially covers delegation checks,seed-01
4.2.4,C4.2,EU_AI_Act,NM,—,No delegation-chain provisions,seed-01
4.2.4,C4.2,ISO_42001,NM,—,Delegation chains not addressed,seed-01
4.2.4,C4.2,MITRE_ATLAS,NM,—,Delegation chains not addressed,seed-01
4.2.4,C4.2,NIST_AI_RMF,NM,—,Delegation chains not addressed,seed-01
4.2.4,C4.2,NIST_SP_800_207,PM,Tenet 4,Dynamic authorization covers authority scoping; delegation chains not addressed,seed-01
4.2.4,C4.2,OWASP_AISVS,PM,AISVS C9.4,C9.4 agent identity and credential requirements partially cover delegation validity,seed-01
4.2.4,C4.2,SOC_2,NM,—,Delegation chains not addressed,seed-01
5.1.1,C5.1,CSA_AARM,PM,Agent identity as authorization input,Agent identity as an input to runtime authorization; no principal-binding tokens,seed-01
5.1.1,C5.1,EU_AI_Act,PM,Art. 12; Art. 50,Art 12 traceability and Art 50 disclosure touch actor identification; no cryptographic principal-to-agent binding,seed-01
5.1.1,C5.1,ISO_42001,PM,Cl. 5.3; Annex A.3,"Roles, responsibilities and accountability controls; no cryptographic binding",seed-01
5.1.1,C5.1,MITRE_ATLAS,PM,AML.M0005,Access-control mitigations imply authenticated actors; no principal binding,seed-01
5.1.1,C5.1,NIST_AI_RMF,PM,GOVERN 2.1; GOVERN 4.1,GOVERN accountability requires attributable actors; no cryptographic principal binding,seed-01
5.1.1,C5.1,NIST_SP_800_207,PM,Tenet 6,Strong authentication of all subjects and devices; principal-to-agent intent binding not addressed,seed-01
5.1.1,C5.1,OWASP_AISVS,PM,AISVS C5; C9.4,C9.4 agent identity credentials and rotation; principal-to-agent intent binding is specific to Proof-of-Control,seed-01
5.1.1,C5.1,SOC_2,PM,CC6.1–CC6.2,CC6 identification and authentication of users/systems; no principal-to-agent binding,seed-01
5.1.2,C5.1,CSA_AARM,PM,Agent identity as authorization input,Agent identity as an input to runtime authorization; no principal-binding tokens,seed-01
5.1.2,C5.1,EU_AI_Act,PM,Art. 12; Art. 50,Art 12 traceability and Art 50 disclosure touch actor identification; no cryptographic principal-to-agent binding,seed-01
5.1.2,C5.1,ISO_42001,PM,Cl. 5.3; Annex A.3,"Roles, responsibilities and accountability controls; no cryptographic binding",seed-01
5.1.2,C5.1,MITRE_ATLAS,PM,AML.M0005,Access-control mitigations imply authenticated actors; no principal binding,seed-01
5.1.2,C5.1,NIST_AI_RMF,PM,GOVERN 2.1; GOVERN 4.1,GOVERN accountability requires attributable actors; no cryptographic principal binding,seed-01
5.1.2,C5.1,NIST_SP_800_207,PM,Tenet 6,Strong authentication of all subjects and devices; principal-to-agent intent binding not addressed,seed-01
5.1.2,C5.1,OWASP_AISVS,PM,AISVS C5; C9.4,C9.4 agent identity credentials and rotation; principal-to-agent intent binding is specific to Proof-of-Control,seed-01
5.1.2,C5.1,SOC_2,PM,CC6.1–CC6.2,CC6 identification and authentication of users/systems; no principal-to-agent binding,seed-01
5.1.3,C5.1,CSA_AARM,PM,Agent identity as authorization input,Agent identity as an input to runtime authorization; no principal-binding tokens,seed-01
5.1.3,C5.1,EU_AI_Act,PM,Art. 12; Art. 50,Art 12 traceability and Art 50 disclosure touch actor identification; no cryptographic principal-to-agent binding,seed-01
5.1.3,C5.1,ISO_42001,PM,Cl. 5.3; Annex A.3,"Roles, responsibilities and accountability controls; no cryptographic binding",seed-01
5.1.3,C5.1,MITRE_ATLAS,PM,AML.M0005,Access-control mitigations imply authenticated actors; no principal binding,seed-01
5.1.3,C5.1,NIST_AI_RMF,PM,GOVERN 2.1; GOVERN 4.1,GOVERN accountability requires attributable actors; no cryptographic principal binding,seed-01
5.1.3,C5.1,NIST_SP_800_207,PM,Tenet 6,Strong authentication of all subjects and devices; principal-to-agent intent binding not addressed,seed-01
5.1.3,C5.1,OWASP_AISVS,PM,AISVS C5; C9.4,C9.4 agent identity credentials and rotation; principal-to-agent intent binding is specific to Proof-of-Control,seed-01
5.1.3,C5.1,SOC_2,PM,CC6.1–CC6.2,CC6 identification and authentication of users/systems; no principal-to-agent binding,seed-01
5.1.4,C5.1,CSA_AARM,PM,Agent identity as authorization input,Agent identity as an input to runtime authorization; no principal-binding tokens,seed-01
5.1.4,C5.1,EU_AI_Act,PM,Art. 12; Art. 50,Art 12 traceability and Art 50 disclosure touch actor identification; no cryptographic principal-to-agent binding,seed-01
5.1.4,C5.1,ISO_42001,PM,Cl. 5.3; Annex A.3,"Roles, responsibilities and accountability controls; no cryptographic binding",seed-01
5.1.4,C5.1,MITRE_ATLAS,PM,AML.M0005,Access-control mitigations imply authenticated actors; no principal binding,seed-01
5.1.4,C5.1,NIST_AI_RMF,PM,GOVERN 2.1; GOVERN 4.1,GOVERN accountability requires attributable actors; no cryptographic principal binding,seed-01
5.1.4,C5.1,NIST_SP_800_207,PM,Tenet 6,Strong authentication of all subjects and devices; principal-to-agent intent binding not addressed,seed-01
5.1.4,C5.1,OWASP_AISVS,PM,AISVS C5; C9.4,C9.4 agent identity credentials and rotation; principal-to-agent intent binding is specific to Proof-of-Control,seed-01
5.1.4,C5.1,SOC_2,PM,CC6.1–CC6.2,CC6 identification and authentication of users/systems; no principal-to-agent binding,seed-01
5.2.1,C5.2,CSA_AARM,NM,—,Inter-agent identity not addressed,seed-01
5.2.1,C5.2,EU_AI_Act,NM,—,No inter-agent identity provisions,seed-01
5.2.1,C5.2,ISO_42001,NM,—,Inter-agent identity not addressed,seed-01
5.2.1,C5.2,MITRE_ATLAS,NM,—,Inter-agent identity not addressed,seed-01
5.2.1,C5.2,NIST_AI_RMF,NM,—,Inter-agent identity not addressed,seed-01
5.2.1,C5.2,NIST_SP_800_207,PM,Tenet 2,Mutual authentication between services covers inter-agent message authenticity,seed-01
5.2.1,C5.2,OWASP_AISVS,PM,AISVS C9; C10,C9/C10 inter-agent and MCP security cover authenticated agent communication,seed-01
5.2.1,C5.2,SOC_2,NM,—,Inter-agent identity not addressed,seed-01
5.2.2,C5.2,CSA_AARM,NM,—,Inter-agent identity not addressed,seed-01
5.2.2,C5.2,EU_AI_Act,NM,—,No inter-agent identity provisions,seed-01
5.2.2,C5.2,ISO_42001,NM,—,Inter-agent identity not addressed,seed-01
5.2.2,C5.2,MITRE_ATLAS,NM,—,Inter-agent identity not addressed,seed-01
5.2.2,C5.2,NIST_AI_RMF,NM,—,Inter-agent identity not addressed,seed-01
5.2.2,C5.2,NIST_SP_800_207,PM,Tenet 2,Mutual authentication between services covers inter-agent message authenticity,seed-01
5.2.2,C5.2,OWASP_AISVS,PM,AISVS C9; C10,C9/C10 inter-agent and MCP security cover authenticated agent communication,seed-01
5.2.2,C5.2,SOC_2,NM,—,Inter-agent identity not addressed,seed-01
6.1.1,C6.1,CSA_AARM,PM,Runtime control enforcement,Runtime control enforcement covers controls-held aims; environment attestation not addressed,seed-01
6.1.1,C6.1,EU_AI_Act,PM,Art. 15,Art 15 accuracy/robustness/cybersecurity requires environment controls; attestation vs golden values not required,seed-01
6.1.1,C6.1,ISO_42001,PM,Cl. 8 (via ISO/IEC 27001 alignment),Security controls via ISO 27001 alignment cover environment integrity; attestation not required,seed-01
6.1.1,C6.1,MITRE_ATLAS,PM,Adversarial Input Detection (AML.M0015); vulnerability scanning,Mitigations for environment hardening and adversarial input detection; attestation not required,seed-01
6.1.1,C6.1,NIST_AI_RMF,PM,MEASURE 2.7,MEASURE secure-and-resilient characteristic covers environment integrity aims; attestation not required,seed-01
6.1.1,C6.1,NIST_SP_800_207,PM,Tenet 5,Device posture and integrity monitoring inform access decisions; not openly verifiable,seed-01
6.1.1,C6.1,OWASP_AISVS,PM,AISVS C4,C4 infrastructure requirements cover environment hardening; attestation evidence not required,seed-01
6.1.1,C6.1,SOC_2,PM,CC7.1–CC7.2,CC6/CC7 operations monitoring cover control operation; attestation vs reference values not required,seed-01
6.1.2,C6.1,CSA_AARM,PM,Runtime control enforcement,Runtime control enforcement covers controls-held aims; environment attestation not addressed,seed-01
6.1.2,C6.1,EU_AI_Act,PM,Art. 15,Art 15 accuracy/robustness/cybersecurity requires environment controls; attestation vs golden values not required,seed-01
6.1.2,C6.1,ISO_42001,PM,Cl. 8 (via ISO/IEC 27001 alignment),Security controls via ISO 27001 alignment cover environment integrity; attestation not required,seed-01
6.1.2,C6.1,MITRE_ATLAS,PM,Adversarial Input Detection (AML.M0015); vulnerability scanning,Mitigations for environment hardening and adversarial input detection; attestation not required,seed-01
6.1.2,C6.1,NIST_AI_RMF,PM,MEASURE 2.7,MEASURE secure-and-resilient characteristic covers environment integrity aims; attestation not required,seed-01
6.1.2,C6.1,NIST_SP_800_207,PM,Tenet 5,Device posture and integrity monitoring inform access decisions; not openly verifiable,seed-01
6.1.2,C6.1,OWASP_AISVS,PM,AISVS C4,C4 infrastructure requirements cover environment hardening; attestation evidence not required,seed-01
6.1.2,C6.1,SOC_2,PM,CC7.1–CC7.2,CC6/CC7 operations monitoring cover control operation; attestation vs reference values not required,seed-01
6.1.3,C6.1,CSA_AARM,PM,Runtime control enforcement,Runtime control enforcement covers controls-held aims; environment attestation not addressed,seed-01
6.1.3,C6.1,EU_AI_Act,PM,Art. 15,Art 15 accuracy/robustness/cybersecurity requires environment controls; attestation vs golden values not required,seed-01
6.1.3,C6.1,ISO_42001,PM,Cl. 8 (via ISO/IEC 27001 alignment),Security controls via ISO 27001 alignment cover environment integrity; attestation not required,seed-01
6.1.3,C6.1,MITRE_ATLAS,PM,Adversarial Input Detection (AML.M0015); vulnerability scanning,Mitigations for environment hardening and adversarial input detection; attestation not required,seed-01
6.1.3,C6.1,NIST_AI_RMF,PM,MEASURE 2.7,MEASURE secure-and-resilient characteristic covers environment integrity aims; attestation not required,seed-01
6.1.3,C6.1,NIST_SP_800_207,PM,Tenet 5,Device posture and integrity monitoring inform access decisions; not openly verifiable,seed-01
6.1.3,C6.1,OWASP_AISVS,PM,AISVS C4,C4 infrastructure requirements cover environment hardening; attestation evidence not required,seed-01
6.1.3,C6.1,SOC_2,PM,CC7.1–CC7.2,CC6/CC7 operations monitoring cover control operation; attestation vs reference values not required,seed-01
6.1.4,C6.1,CSA_AARM,PM,Runtime control enforcement,Runtime control enforcement covers controls-held aims; environment attestation not addressed,seed-01
6.1.4,C6.1,EU_AI_Act,PM,Art. 15,Art 15 accuracy/robustness/cybersecurity requires environment controls; attestation vs golden values not required,seed-01
6.1.4,C6.1,ISO_42001,PM,Cl. 8 (via ISO/IEC 27001 alignment),Security controls via ISO 27001 alignment cover environment integrity; attestation not required,seed-01
6.1.4,C6.1,MITRE_ATLAS,PM,Adversarial Input Detection (AML.M0015); vulnerability scanning,Mitigations for environment hardening and adversarial input detection; attestation not required,seed-01
6.1.4,C6.1,NIST_AI_RMF,PM,MEASURE 2.7,MEASURE secure-and-resilient characteristic covers environment integrity aims; attestation not required,seed-01
6.1.4,C6.1,NIST_SP_800_207,PM,Tenet 5,Device posture and integrity monitoring inform access decisions; not openly verifiable,seed-01
6.1.4,C6.1,OWASP_AISVS,PM,AISVS C4,C4 infrastructure requirements cover environment hardening; attestation evidence not required,seed-01
6.1.4,C6.1,SOC_2,PM,CC7.1–CC7.2,CC6/CC7 operations monitoring cover control operation; attestation vs reference values not required,seed-01
6.2.1,C6.2,CSA_AARM,NM,—,Isolation proof not addressed,seed-01
6.2.1,C6.2,EU_AI_Act,PM,Art. 15,Art 15 cybersecurity covers isolation expectations generally; no proof-of-isolation requirement,seed-01
6.2.1,C6.2,ISO_42001,NM,—,Isolation proof not addressed,seed-01
6.2.1,C6.2,MITRE_ATLAS,PM,Execution-restriction / sandboxing mitigations,Sandboxing/restricting execution mitigations align with isolation requirements,seed-01
6.2.1,C6.2,NIST_AI_RMF,PM,MEASURE 2.7,Secure-and-resilient characteristic covers isolation expectations generally,seed-01
6.2.1,C6.2,NIST_SP_800_207,NM,—,Isolation proof not addressed,seed-01
6.2.1,C6.2,OWASP_AISVS,EM,AISVS C4; C9,C4/C9 sandboxing requirements for code execution match isolation-proof scope,seed-01
6.2.1,C6.2,SOC_2,NM,—,Isolation proof not addressed,seed-01
6.2.2,C6.2,CSA_AARM,NM,—,Isolation proof not addressed,seed-01
6.2.2,C6.2,EU_AI_Act,PM,Art. 15,Art 15 cybersecurity covers isolation expectations generally; no proof-of-isolation requirement,seed-01
6.2.2,C6.2,ISO_42001,NM,—,Isolation proof not addressed,seed-01
6.2.2,C6.2,MITRE_ATLAS,PM,Execution-restriction / sandboxing mitigations,Sandboxing/restricting execution mitigations align with isolation requirements,seed-01
6.2.2,C6.2,NIST_AI_RMF,PM,MEASURE 2.7,Secure-and-resilient characteristic covers isolation expectations generally,seed-01
6.2.2,C6.2,NIST_SP_800_207,NM,—,Isolation proof not addressed,seed-01
6.2.2,C6.2,OWASP_AISVS,EM,AISVS C4; C9,C4/C9 sandboxing requirements for code execution match isolation-proof scope,seed-01
6.2.2,C6.2,SOC_2,NM,—,Isolation proof not addressed,seed-01
6.2.3,C6.2,CSA_AARM,NM,—,Isolation proof not addressed,seed-01
6.2.3,C6.2,EU_AI_Act,PM,Art. 15,Art 15 cybersecurity covers isolation expectations generally; no proof-of-isolation requirement,seed-01
6.2.3,C6.2,ISO_42001,NM,—,Isolation proof not addressed,seed-01
6.2.3,C6.2,MITRE_ATLAS,PM,Execution-restriction / sandboxing mitigations,Sandboxing/restricting execution mitigations align with isolation requirements,seed-01
6.2.3,C6.2,NIST_AI_RMF,PM,MEASURE 2.7,Secure-and-resilient characteristic covers isolation expectations generally,seed-01
6.2.3,C6.2,NIST_SP_800_207,NM,—,Isolation proof not addressed,seed-01
